Index,Time,(Imu_info).Gyro[0],(Imu_info).Gyro[1],(Imu_info).Gyro[2],(Imu_info).Accel[0],(Imu_info).Accel[1],(Imu_info).Accel[2]
6177,61.779837,0.00618506595,-0.000873646291,0.00492258649,-1.97196126,0.115566097,9.82678699
6178,61.790039,0.00725033041,-0.00300417515,-0.00573005807,-2.00498009,0.143081829,9.85980606
6179,61.799804,-0.000206520781,-0.0125915557,0.0134447021,-2.03799891,0.108228564,9.77725887
6180,61.810201,0.0051198015,-0.00726523297,-0.0121216448,-1.95728612,0.130241156,9.80293941
6181,61.820135,0.00298927259,-0.0253747273,0.00598785095,-1.92793608,0.132075548,9.83229065
6182,61.830077,0.0104461238,-0.0221789349,0.00492258649,-1.95728612,0.133909926,9.84146214
6183,61.840005,0.0104461238,0.00338741159,0.0113141732,-1.98663616,0.0605346225,9.84329605
6184,61.849849,-0.000206520781,-0.0157873482,-0.00999111589,-1.97562993,0.0917191282,9.81761551
6185,61.859806,0.00831559487,-0.00726523297,0.0166404955,-2.01231766,0.132075548,9.88915539
6186,61.870168,0.00725033041,-0.00939576235,-0.0163827017,-2.00498009,0.0953878835,9.8854866
6187,61.880096,-0.00872863643,0.000191618165,0.00918364432,-1.9426111,0.181603864,9.81944942
6188,61.890079,0.00618506595,-0.0136568202,-0.0142521737,-1.99397373,0.155922517,9.83045578
6189,61.899834,-0.00553284306,-0.0179178771,0.00492258649,-1.98847067,0.133909926,9.82678699
6190,61.910013,0.000858743675,-0.0147220846,0.00705311541,-1.94444549,0.133909926,9.88181877
6191,61.920403,0.0051198015,-0.00513470406,0.0304889344,-1.90225458,0.174266338,9.83779335
6192,61.929976,0.015772447,0.00658320496,0.0166404955,-1.97562993,0.108228564,9.92584324
6193,61.939925,0.00405453704,-0.00726523297,-0.0206437595,-2.02332377,0.203616455,9.81578064
6194,61.949849,0.00192400813,-0.00726523297,-0.00146900013,-1.94811416,0.161425665,9.81761551
6195,61.959805,-0.00127178524,-0.0189831425,0.000661528786,-1.94994855,0.135744303,9.84513092
6196,61.970006,0.00298927259,0.0055179405,0.0145099666,-1.97012675,0.132075548,9.84696579
6197,61.980404,-0.00659810752,0.00977899786,0.0102489088,-1.89675152,0.143081829,9.87081146
6198,61.989977,0.00298927259,-0.00833049789,0.000661528786,-1.97379565,0.133909926,9.82678699
6199,62.000235,-0.00659810752,0.00658320496,0.00598785095,-1.97379565,0.141247451,9.83412457
6200,62.009989,-0.0140549587,0.00445267605,-0.000403735641,-1.93343914,0.117400482,9.78276253
6201,62.019818,0.0051198015,-0.0349621102,0.00918364432,-1.95361733,0.176100716,9.87814999
6202,62.030201,-0.00127178524,0.00125688268,0.000661528786,-1.97562993,0.11923486,9.79376793
6203,62.040122,-0.00233704969,0.00338741159,-0.000403735641,-1.9811331,0.133909926,9.85797119
6204,62.050074,-0.00127178524,-0.0040694396,-0.0121216448,-1.95361733,0.188941389,9.81394672
6205,62.059994,-0.00340231415,-0.00513470406,-0.00999111589,-1.92793608,0.137578696,9.90933418
6206,62.069934,-0.0119244298,-0.00726523297,-0.0217090249,-1.95361733,0.130241156,9.81761551
6207,62.080140,0.00192400813,-0.0147220846,-0.0121216448,-1.89308274,0.172431946,9.85430241
6208,62.090105,-0.00553284306,-0.0104610268,-0.0110563803,-1.99397373,0.113731712,9.83962727
6209,62.100048,-0.0108591653,0.0055179405,-0.00466479361,-2.01598644,0.141247451,9.82495213
6210,62.110405,0.00938085932,0.0055179405,0.0272931401,-1.99030507,0.0972222686,9.86897755
6211,62.119982,0.0051198015,-0.020048406,-0.00999111589,-2.00681448,0.102725424,9.86530972
6212,62.130186,0.00192400813,-0.0115262913,-0.0153174382,-1.95912051,0.0935535133,9.85063457
6213,62.140104,-0.000206520781,-0.0104610268,0.00918364432,-1.97746432,0.144916207,9.85246754
6214,62.150041,0.00298927259,-0.00726523297,0.0113141732,-1.97379565,0.179769486,9.85797119
6215,62.159992,0.00298927259,0.000191618165,-0.0217090249,-1.9829675,0.113731712,9.89465904
6216,62.169941,-0.00340231415,-0.0136568202,-0.00892585143,-1.9627893,0.0733752996,9.79743671
6217,62.180287,0.017902974,0.000191618165,0.0177057609,-1.97562993,0.146750599,9.85613728
6218,62.190106,0.0104461238,-0.0040694396,0.00172679324,-1.97196126,0.135744303,9.82678699
